sampleKind,appearanceId,collectionKey,route,sourceSide,sourceItemId,itemLevel,nativeDisplayId,itemDisplayModel,itemDisplayTexture,resolvedModelPath,resolvedSkinPath,resolvedTexturePath,modelArchive,textureArchive,cameraPreset
SEEDED_RANDOM,205229,appearance.d27064.s14.c4.sc6,SHIELD,LEFT,15569,40,27064,Shield_Rectangle_A_01.mdx,Shield_Rectangle_A_01Purple,item\objectcomponents\shield\shield_rectangle_a_01.m2,item\objectcomponents\shield\shield_rectangle_a_0100.skin,item\objectcomponents\shield\shield_rectangle_a_01purple.blp,common-2.MPQ,common.MPQ,SHIELD
SEEDED_RANDOM,206196,appearance.d28457.s26.c2.sc19,RANGED,LEFT,15280,53,28457,Wand_1H_Jeweled_B_02.mdx,Stave_2H_Jeweled_A_03Black,item\objectcomponents\weapon\wand_1h_jeweled_b_02.m2,item\objectcomponents\weapon\wand_1h_jeweled_b_0200.skin,item\objectcomponents\weapon\stave_2h_jeweled_a_03black.blp,common-2.MPQ,common.MPQ,WAND
SEEDED_RANDOM,206408,appearance.d28719.s17.c2.sc1,MAINHAND,LEFT,11931,59,28719,Axe_2H_War_B_01.mdx,Axe_2H_War_C_01Blue,item\objectcomponents\weapon\axe_2h_war_b_01.m2,item\objectcomponents\weapon\axe_2h_war_b_0100.skin,item\objectcomponents\weapon\axe_2h_war_c_01blue.blp,common-2.MPQ,common.MPQ,TWO_HAND_AXE
SEEDED_RANDOM,207614,appearance.d33128.s13.c2.sc0,MAINHAND,LEFT,20675,62,33128,Axe_1H_Horde_C_03.mdx,Axe_1H_Horde_C_03Obsidian,item\objectcomponents\weapon\axe_1h_horde_c_03.m2,item\objectcomponents\weapon\axe_1h_horde_c_0300.skin,item\objectcomponents\weapon\axe_1h_horde_c_03obsidian.blp,common-2.MPQ,common.MPQ,ONE_HAND_AXE
FAMILY_STRATIFIED,207942,appearance.d34139.s26.c2.sc3,RANGED,LEFT,21272,79,34139,Firearm_2H_Rifle_AhnQiraj_D_02.mdx,Firearm_2H_Rifle_AhnQiraj_D_02,item\objectcomponents\weapon\firearm_2h_rifle_ahnqiraj_d_02.m2,item\objectcomponents\weapon\firearm_2h_rifle_ahnqiraj_d_0200.skin,item\objectcomponents\weapon\firearm_2h_rifle_ahnqiraj_d_02.blp,common-2.MPQ,common.MPQ,GUN
SEEDED_RANDOM,207954,appearance.d34190.s23.c4.sc0,HELD_IN_OFFHAND,LEFT,21597,81,34190,Hand_1H_AhnQiraj_D_02.mdx,Hand_1H_AhnQiraj_D_02Purple,item\objectcomponents\weapon\hand_1h_ahnqiraj_d_02.m2,item\objectcomponents\weapon\hand_1h_ahnqiraj_d_0200.skin,item\objectcomponents\weapon\hand_1h_ahnqiraj_d_02purple.blp,common-2.MPQ,common.MPQ,ONE_HAND_AXE
SEEDED_RANDOM,209159,appearance.d39434.s26.c2.sc18,RANGED,LEFT,25262,105,39434,Bow_2H_Crossbow_A_01.mdx,Bow_2H_Crossbow_B_01Silver,item\objectcomponents\weapon\bow_2h_crossbow_a_01.m2,item\objectcomponents\weapon\bow_2h_crossbow_a_0100.skin,item\objectcomponents\weapon\bow_2h_crossbow_b_01silver.blp,common-2.MPQ,common.MPQ,CROSSBOW
SEEDED_RANDOM,211219,appearance.d44316.s23.c4.sc0,HELD_IN_OFFHAND,LEFT,31715,87,44316,Offhand_Blood_A_01.mdx,Offhand_Blood_A_01Magenta,item\objectcomponents\weapon\offhand_blood_a_01.m2,item\objectcomponents\weapon\offhand_blood_a_0100.skin,item\objectcomponents\weapon\offhand_blood_a_01magenta.blp,common-2.MPQ,common.MPQ,ONE_HAND_AXE
FAMILY_STRATIFIED,211590,appearance.d45479.s21.c2.sc7,MAINHAND,LEFT,32837,156,45479,Glave_1H_DualBlade_D_02.mdx,Glave_1H_DualBlade_D_02,item\objectcomponents\weapon\glave_1h_dualblade_d_02.m2,item\objectcomponents\weapon\glave_1h_dualblade_d_0200.skin,item\objectcomponents\weapon\glave_1h_dualblade_d_02.blp,common-2.MPQ,common.MPQ,WAR_GLAIVE_MAINHAND
SEEDED_RANDOM,211807,appearance.d45890.s22.c2.sc13,OFFHAND_WEAPON,LEFT,32945,141,45890,Hand_1H_Shaman_D_01Left.mdx,Hand_1H_Shaman_D_01,item\objectcomponents\weapon\hand_1h_shaman_d_01left.m2,item\objectcomponents\weapon\hand_1h_shaman_d_01left00.skin,item\objectcomponents\weapon\hand_1h_shaman_d_01.blp,common-2.MPQ,common.MPQ,FIST_WEAPON
SEEDED_RANDOM,212866,appearance.d49146.s21.c2.sc4,MAINHAND,LEFT,35082,154,49146,Mace_1H_Sunwell_D_01.mdx,Mace_1H_Sunwell_D_01Black,item\objectcomponents\weapon\mace_1h_sunwell_d_01.m2,item\objectcomponents\weapon\mace_1h_sunwell_d_0100.skin,item\objectcomponents\weapon\mace_1h_sunwell_d_01black.blp,common-2.MPQ,common.MPQ,ONE_HAND_MACE
SEEDED_RANDOM,213159,appearance.d50152.s15.c2.sc2,RANGED,LEFT,36625,178,50152,Bow_1H_Northrend_B_01.mdx,Bow_1H_Northrend_B_01Crimson,item\objectcomponents\weapon\bow_1h_northrend_b_01.m2,item\objectcomponents\weapon\bow_1h_northrend_b_0100.skin,item\objectcomponents\weapon\bow_1h_northrend_b_01crimson.blp,common-2.MPQ,common.MPQ,BOW
SEEDED_RANDOM,213186,appearance.d50201.s21.c2.sc4,MAINHAND,LEFT,42819,174,50201,Mace_1H_Northrend_B_02.mdx,Mace_1H_Northrend_B_02Blue,item\objectcomponents\weapon\mace_1h_northrend_b_02.m2,item\objectcomponents\weapon\mace_1h_northrend_b_0200.skin,item\objectcomponents\weapon\mace_1h_northrend_b_02blue.blp,patch.MPQ,common.MPQ,ONE_HAND_MACE
SEEDED_RANDOM,213476,appearance.d51171.s22.c2.sc13,OFFHAND_WEAPON,LEFT,38153,146,51171,Hand_1H_Utgarde_D_01Left.mdx,Hand_1H_Utgarde_D_01Yellow,item\objectcomponents\weapon\hand_1h_utgarde_d_01left.m2,item\objectcomponents\weapon\hand_1h_utgarde_d_01left00.skin,item\objectcomponents\weapon\hand_1h_utgarde_d_01yellow.blp,patch.MPQ,common.MPQ,FIST_WEAPON
SEEDED_RANDOM,214610,appearance.d54032.s17.c2.sc10,MAINHAND,LEFT,39422,213,54032,Stave_2H_Utgarde_D_02.mdx,Stave_2H_Utgarde_D_02Dark,item\objectcomponents\weapon\stave_2h_utgarde_d_02.m2,item\objectcomponents\weapon\stave_2h_utgarde_d_0200.skin,item\objectcomponents\weapon\stave_2h_utgarde_d_02dark.blp,patch.MPQ,common.MPQ,STAFF
SEEDED_RANDOM,214613,appearance.d54038.s21.c2.sc15,MAINHAND,LEFT,39271,200,54038,Knife_1H_Stratholme_D_03.mdx,knife_1h_stratholme_d_02,item\objectcomponents\weapon\knife_1h_stratholme_d_03.m2,item\objectcomponents\weapon\knife_1h_stratholme_d_0300.skin,item\objectcomponents\weapon\knife_1h_stratholme_d_02.blp,common-2.MPQ,common.MPQ,DAGGER
SEEDED_RANDOM,216192,appearance.d58881.s13.c2.sc15,MAINHAND,LEFT,45484,239,58881,knife_1h_ulduarraid_d_01.mdx,knife_1h_ulduarraid_d_01black,item\objectcomponents\weapon\knife_1h_ulduarraid_d_01.m2,item\objectcomponents\weapon\knife_1h_ulduarraid_d_0100.skin,item\objectcomponents\weapon\knife_1h_ulduarraid_d_01black.blp,patch.MPQ,patch.MPQ,DAGGER
SEEDED_RANDOM,216258,appearance.d58973.s23.c4.sc0,HELD_IN_OFFHAND,LEFT,45314,219,58973,offhand_1h_ulduarraid_d_03.mdx,offhand_1h_ulduarraid_d_03red,item\objectcomponents\weapon\offhand_1h_ulduarraid_d_03.m2,item\objectcomponents\weapon\offhand_1h_ulduarraid_d_0300.skin,item\objectcomponents\weapon\offhand_1h_ulduarraid_d_03red.blp,patch.MPQ,patch.MPQ,ONE_HAND_AXE
SEEDED_RANDOM,216846,appearance.d60808.s17.c2.sc5,MAINHAND,LEFT,42324,245,60808,mace_2h_pvp320_c_01.mdx,mace_2h_pvp320_c_01dark,item\objectcomponents\weapon\mace_2h_pvp320_c_01.m2,item\objectcomponents\weapon\mace_2h_pvp320_c_0100.skin,item\objectcomponents\weapon\mace_2h_pvp320_c_01dark.blp,patch.MPQ,patch.MPQ,TWO_HAND_MACE
