spellId,name_enUS,reasonCode,reason
43883,Rental Racing Ram,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
44655,Flying Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
44824,Flying Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
44825,Flying Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
44827,Flying Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
45177,Copy of Riding Turtle,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
46980,Northrend Nerubian Mount (Test),NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
47977,Magic Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
48023,Headless Horseman's Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
48024,Headless Horseman's Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
49908,Pink Elekk,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
50281,Black Warp Stalker,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
51617,Headless Horseman's Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
51621,Headless Horseman's Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
51960,Frost Wyrm Mount,NPC_OR_TEST_MOUNT,Frost Wyrm Mount is an NPC or test action with no player acquisition source.
54726,Winged Steed of the Ebon Blade,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
54727,Winged Steed of the Ebon Blade,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
55164,Swift Spectral Gryphon,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
55293,Amani War Bear,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
58819,Swift Brown Steed,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
58997,Big Blizzard Bear,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
58999,Big Blizzard Bear,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
60120,Summon Loaner Wind Rider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
61289,Borrowed Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
61444,Swift Shadoweave Carpet,UNUSED_PROFESSION_TEST_VARIANT,Swift Shadoweave Carpet is an unused profession test variant with no acquisition source.
61983,Dan's Test Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
64656,Blue Skeletal Warhorse,UNUSED_TEST_VARIANT,Blue Skeletal Warhorse is an unused test variant with no acquisition source.
64681,Loaned Gryphon,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
64761,Loaned Wind Rider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
64992,Big Blizzard Bear [PH],NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
64993,Big Blizzard Bear [PH],NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
66122,Magic Rooster,INTERNAL_VARIANT_NOT_LEARNED,Internal Magic Rooster variant is not the player-learned item action.
66123,Magic Rooster,INTERNAL_VARIANT_NOT_LEARNED,Internal Magic Rooster variant is not the player-learned item action.
66124,Magic Rooster,INTERNAL_VARIANT_NOT_LEARNED,Internal Magic Rooster variant is not the player-learned item action.
66907,Argent Warhorse,SUPERSEDED_UNUSED_VARIANT,Unused Argent Warhorse action is superseded by the actual faction reward spells.
68768,Little White Stallion,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
68769,Little Ivory Raptor,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
71343,Big Love Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
71344,Big Love Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
71345,Big Love Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
71346,Big Love Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
71347,Big Love Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
72281,Invincible,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
72282,Invincible,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
72283,Invincible,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
72284,Invincible,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
74854,Blazing Hippogryph,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
74855,Blazing Hippogryph,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75387,Tiny Mooncloth Carpet,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75617,Celestial Steed,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75618,Celestial Steed,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75619,Celestial Steed,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75620,Celestial Steed,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75957,X-53 Touring Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
75972,X-53 Touring Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
76153,Celestial Steed,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
76154,X-53 Touring Rocket,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
