candidateKey,itemSetId,active,presentationStatus,expansion,acquisition,raidTier,pvpSeason,displayLabel,difficulty,medianItemLevel,ruleKey,reasonCode
itemset:189,189,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-warrior,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:201,201,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:202,202,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:203,203,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:204,204,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:205,205,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:206,206,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:207,207,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:208,208,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:209,209,true,REVIEWED,CLASSIC,PVE,T1,NONE,T1,RAID,66.0,classic-t1-molten-core,REVIEWED_ITEMSET_RANGE_CLASSIC_T1_MOLTEN_CORE
itemset:210,210,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:211,211,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:212,212,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:213,213,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:214,214,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:215,215,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:216,216,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:217,217,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:218,218,true,REVIEWED,CLASSIC,PVE,T2,NONE,T2,RAID,76.0,classic-t2-blackwing-lair,REVIEWED_ITEMSET_RANGE_CLASSIC_T2_BLACKWING_LAIR
itemset:221,221,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,42,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:241,241,false,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,72.5,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:261,261,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,66.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:281,281,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:282,282,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:301,301,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:321,321,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,59,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:341,341,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:342,342,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:343,343,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:344,344,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:345,345,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:346,346,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:347,347,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:348,348,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:361,361,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:362,362,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:381,381,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:382,382,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:383,383,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:384,384,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:386,386,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:387,387,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:388,388,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:389,389,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:390,390,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:391,391,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:392,392,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:393,393,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:394,394,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:395,395,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:396,396,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:397,397,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:398,398,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:401,401,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,63.0,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:402,402,true,REVIEWED,CLASSIC,PVP,NONE,NONE,PvP · 荣誉,DUNGEON,72.5,classic-pvp-honor,REVIEWED_ITEMSET_CLASSIC_PVP_HONOR_NON_ARENA
itemset:421,421,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:441,441,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:442,442,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:443,443,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:444,444,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:461,461,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:462,462,false,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,69.5,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:463,463,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:464,464,false,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,69.5,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:465,465,false,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,69.5,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:466,466,false,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,68.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:467,467,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:468,468,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:469,469,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:470,470,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:471,471,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:472,472,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:473,473,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:474,474,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:475,475,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:476,476,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:477,477,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:478,478,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:479,479,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:480,480,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:481,481,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:482,482,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,65,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:483,483,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:484,484,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:485,485,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:486,486,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:487,487,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:488,488,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:489,489,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,60.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:490,490,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,54,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:491,491,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,59,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:492,492,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,60,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:493,493,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:494,494,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:495,495,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:496,496,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:497,497,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:498,498,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:499,499,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:500,500,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:501,501,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:502,502,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:503,503,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:504,504,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:505,505,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:506,506,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:507,507,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:508,508,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:509,509,true,REVIEWED,CLASSIC,PVE,T2.5,NONE,T2.5,RAID,81,classic-aq40-t2-5,REVIEWED_ITEMSET_CLASSIC_T25_AQ40_CLASS_SET
itemset:510,510,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,67,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:511,511,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-warrior,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:512,512,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-rogue,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:513,513,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-druid,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:514,514,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-priest,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:515,515,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-hunter,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:516,516,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-paladin,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:517,517,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-mage,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:518,518,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-warlock,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:519,519,true,REVIEWED,CLASSIC,PVE,T0.5,NONE,T0.5,DUNGEON,62.5,classic-dungeon-t0-5-shaman,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T05_CLASS_SET
itemset:520,520,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,61.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:521,521,true,REVIEWED,CLASSIC,PVE,T3,NONE,T3,RAID,88,classic-t3-druid,REVIEWED_ITEMSET_CLASSIC_T3_NAXX_CLASS_SET
